|GapStart_ms      |GapEnd_ms        |GapStart_UTC                 |GapEnd_UTC                   |GapDuration_sec|
|1,757,009,794,049|1,757,009,851,309|2025-09-04 21:16:34.049 +0300|2025-09-04 21:17:31.309 +0300|57.26          |
|1,756,703,326,787|1,756,703,383,691|2025-09-01 08:08:46.787 +0300|2025-09-01 08:09:43.691 +0300|56.904         |
|1,757,009,956,168|1,757,010,013,056|2025-09-04 21:19:16.168 +0300|2025-09-04 21:20:13.056 +0300|56.888         |
|1,756,998,144,454|1,756,998,200,569|2025-09-04 18:02:24.454 +0300|2025-09-04 18:03:20.569 +0300|56.115         |
|1,756,759,563,250|1,756,759,615,244|2025-09-01 23:46:03.250 +0300|2025-09-01 23:46:55.244 +0300|51.994         |
|1,756,999,136,748|1,756,999,187,131|2025-09-04 18:18:56.748 +0300|2025-09-04 18:19:47.131 +0300|50.383         |
|1,757,010,146,832|1,757,010,196,941|2025-09-04 21:22:26.832 +0300|2025-09-04 21:23:16.941 +0300|50.109         |
|1,757,013,205,721|1,757,013,255,310|2025-09-04 22:13:25.721 +0300|2025-09-04 22:14:15.310 +0300|49.589         |
|1,757,013,780,047|1,757,013,829,041|2025-09-04 22:23:00.047 +0300|2025-09-04 22:23:49.041 +0300|48.994         |
|1,757,164,997,207|1,757,165,045,920|2025-09-06 16:23:17.207 +0300|2025-09-06 16:24:05.920 +0300|48.713         |
|1,757,094,409,350|1,757,094,457,466|2025-09-05 20:46:49.350 +0300|2025-09-05 20:47:37.466 +0300|48.116         |
|1,757,165,195,218|1,757,165,242,556|2025-09-06 16:26:35.218 +0300|2025-09-06 16:27:22.556 +0300|47.338         |
|1,756,996,130,043|1,756,996,176,311|2025-09-04 17:28:50.043 +0300|2025-09-04 17:29:36.311 +0300|46.268         |
|1,757,094,340,323|1,757,094,386,438|2025-09-05 20:45:40.323 +0300|2025-09-05 20:46:26.438 +0300|46.115         |
|1,756,997,493,141|1,756,997,539,014|2025-09-04 17:51:33.141 +0300|2025-09-04 17:52:19.014 +0300|45.873         |
|1,756,784,233,482|1,756,784,279,066|2025-09-02 06:37:13.482 +0300|2025-09-02 06:37:59.066 +0300|45.584         |
|1,757,094,261,916|1,757,094,306,345|2025-09-05 20:44:21.916 +0300|2025-09-05 20:45:06.345 +0300|44.429         |
|1,757,013,959,309|1,757,014,003,296|2025-09-04 22:25:59.309 +0300|2025-09-04 22:26:43.296 +0300|43.987         |
|1,756,924,513,907|1,756,924,556,384|2025-09-03 21:35:13.907 +0300|2025-09-03 21:35:56.384 +0300|42.477         |
|1,757,007,159,188|1,757,007,198,064|2025-09-04 20:32:39.188 +0300|2025-09-04 20:33:18.064 +0300|38.876         |
|1,756,631,908,565|1,756,631,947,423|2025-08-31 12:18:28.565 +0300|2025-08-31 12:19:07.423 +0300|38.858         |
|1,757,014,453,938|1,757,014,492,595|2025-09-04 22:34:13.938 +0300|2025-09-04 22:34:52.595 +0300|38.657         |
|1,756,747,380,724|1,756,747,417,544|2025-09-01 20:23:00.724 +0300|2025-09-01 20:23:37.544 +0300|36.82          |
|1,757,159,368,415|1,757,159,403,754|2025-09-06 14:49:28.415 +0300|2025-09-06 14:50:03.754 +0300|35.339         |
|1,756,778,378,199|1,756,778,411,239|2025-09-02 04:59:38.199 +0300|2025-09-02 05:00:11.239 +0300|33.04          |
|1,756,702,554,614|1,756,702,586,759|2025-09-01 07:55:54.614 +0300|2025-09-01 07:56:26.759 +0300|32.145         |
|1,756,999,038,768|1,756,999,070,033|2025-09-04 18:17:18.768 +0300|2025-09-04 18:17:50.033 +0300|31.265         |
|1,757,014,495,644|1,757,014,526,574|2025-09-04 22:34:55.644 +0300|2025-09-04 22:35:26.574 +0300|30.93          |
|1,756,702,282,165|1,756,702,312,847|2025-09-01 07:51:22.165 +0300|2025-09-01 07:51:52.847 +0300|30.682         |
